"account","count"
"asc200042","518608"
"phy230020","286416"
"bio220016","277316"
"phy220062","256788"
"dmr100005","194476"
"cis220051","170358"
"cis230166","143761"
"mca99s008","122732"
"che190010","120625"
"phy230144","114581"
"rcac","105636"
"cis230005","102419"
"atm140042","92208"
"mcb130189","91584"
"mcb140220","69778"
"mcb150128","57257"
"deb200010","56796"
"mat210034","55620"
"bio230020","48008"
"ear160027","40706"
"phy230002","39632"
"phy220051","38954"
"mcb150144","35606"
"cis230356","34900"
"ccr190056","33742"
"cts110007","26809"
"dmr180114","24873"
"phy170050","23113"
"phy150040-gpu","22252"
"che190065","19807"
"dmr140129","18718"
"mth240010","18059"
"cts090100","17737"
"cda090008","16420"
"mth210005","15576"
"mca08x029","15406"
"phy080005","12466"
"mca01s018-gpu","12299"
"dmr130009","11919"
"cis230021","10868"
"mth210005-gpu","10788"
"dmr970008","10483"
"che230030","9701"
"dmr100029","9113"
"phy230138","8527"
"bio220138","8383"
"phy240022","7872"
"che210079","7524"
"bio210009-gpu","7429"
"phy990002","7248"
"ees220023","7004"
"ear170001","6777"
"chm230067","6589"
"mch220025","6512"
"bio220015","6375"
"phy230029","6154"
"cts110029","6011"
"phy220147","5881"
"tra220018","5245"
"mat220048","5214"
"cts030025","5214"
"cis220121","5074"
"dmr180081","4885"
"cts150053","4757"
"dmr180081-gpu","4172"
"phy220046","4026"
"dmr110007","4002"
"phy180013","3948"
"mcb180049-gpu","3688"
"cts190069","3555"
"cis220051-gpu","3520"
"mca05s027","3492"
"mca08x013","3480"
"ees220057","3366"
"mcb070039n","3264"
"mat220041","3243"
"cts090004","3216"
"phy230114","3201"
"mch220022","3194"
"mch220024","3192"
"atm180022","3155"
"cis220065","3119"
"phy140041","2970"
"geo170003","2941"
"cis220117-gpu","2899"
"atm130003","2813"
"dpp150005","2804"
"chm230047","2753"
"dmr130078","2750"
"phy130027","2726"
"eve210010","2636"
"ccr190056-gpu","2527"
"che230040","2443"
"cis240196","2337"
"phy230052","2335"
"che210078","2316"
"see230009","2262"
"dmr180108","2241"
"asc200042-gpu","2230"
"mcb160119-gpu","2189"
"dmr110090","2185"
"che240026","2036"
"dmr190081","2026"
"phy220084","2001"
"dmr160156","2001"
"cts030026n","1997"
"mat240013","1990"
"cis230165","1971"
"bio210181","1892"
"che220049","1814"
"ees230052","1742"
"dmr160173","1724"
"ccr120014","1698"
"asc170016","1673"
"mat210015","1583"
"cis230130-gpu","1550"
"phy990007n","1511"
"mca05s028","1447"
"ear200002","1427"
"ear200002-gpu","1405"
"chm210013-gpu","1397"
"eng170002","1397"
"mat240001","1384"
"phy220096","1332"
"mcb090163","1320"
"cis220161","1312"
"cts130035","1312"
"ast190018","1227"
"mss190008","1187"
"mca05s032","1172"
"phy220089","1147"
"dmr200012","1141"
"bio230051-gpu","1119"
"phy190025","1111"
"phy210070","1102"
"che230056","1087"
"mde230012","1083"
"atm170028","1052"
"phy210068","1051"
"ast120062","1034"
"dmr190076","1031"
"cts170045","996"
"cis240080","978"
"dmr150034","967"
"che210078-gpu","958"
"phy220056","954"
"cis230379","944"
"ees230042","935"
"phy220137","921"
"mcb200143","901"
"cts190021","897"
"che060073n-gpu","877"
"phy220053","861"
"phy220092","860"
"phy220049","853"
"phy230179","847"
"phy210104","826"
"eng220007-gpu","820"
"mth230008-gpu","816"
"bio220143","815"
"phy180030","809"
"mcb090163-gpu","806"
"phy230139","805"
"chm230046","799"
"cts200028","787"
"dmr190008","785"
"pur230002","779"
"phy200017-gpu","774"
"chm230034","768"
"mch220010","757"
"chm230023-gpu","748"
"phy230058","742"
"mch230051","732"
"phy220032","725"
"dmr200031","722"
"chm210004","718"
"dmr180040","700"
"phy220079","697"
