Account|NormUsage
agr230027|0.000000
agr240009|0.000183
agr240010-gpu|0.000000
agr240010|0.000162
agr240020-gpu|0.000000
agr240020|0.000000
asc150002|0.000000
asc160051-gpu|0.000000
asc160051|0.000067
asc160064-gpu|0.000000
asc160064|0.000000
asc170016-gpu|0.000000
asc170016|0.000006
asc170035-gpu|0.000000
asc170035|0.000000
asc170037|0.000000
asc180023-gpu|0.000000
asc180023|0.000000
asc180050-gpu|0.000000
asc180050|0.000000
asc190064-gpu|0.000000
asc190064|0.000004
asc200042-gpu|0.000001
asc200042|0.000057
ast050018|0.000011
ast080028|0.009668
ast100035|0.000000
ast120060|0.004565
ast120062|0.011641
ast120067|0.000000
ast140008|0.002278
ast140041-gpu|0.000000
ast140041|0.000076
ast180008|0.000005
ast180056|0.000135
ast190018|0.006521
ast190019|0.002281
ast200002-gpu|0.000000
ast200002|0.000000
ast200014|0.000000
ast200017-gpu|0.000000
ast200017|0.002468
ast200032|0.000783
atm100026|0.000903
atm130003|0.001899
atm140042|0.007711
atm170020-gpu|0.000009
atm170028|0.000403
atm180022|0.060342
bcs190015-gpu|0.000001
bcs190015|0.000000
bio200059-gpu|0.000000
bio200059|0.000000
bio210009-gpu|0.000037
bio210061-gpu|0.000031
bio210061|0.006411
bio210099-gpu|0.000019
bio210099|0.000000
bio210129-gpu|0.000001
bio210129|0.000028
bio210140|0.000000
bio210181|0.006921
bio220015-gpu|0.000004
bio220015|0.002495
bio220016|0.002552
bio220030-gpu|0.000000
bio220030|0.000000
bio220041|0.000002
bio220045-gpu|0.000004
bio220045|0.000020
bio220049-gpu|0.000000
bio220059|0.000132
bio220072-gpu|0.000003
bio220072|0.000000
bio220078-gpu|0.000000
bio220114-gpu|0.000001
bio220114|0.000005
bio220137-gpu|0.000001
bio220138|0.000082
bio220143|0.000152
bio220145|0.000014
bio220152|0.000000
bio220153|0.000038
bio220160-gpu|0.000045
bio220164-gpu|0.000009
bio230008|0.000001
bio230020|0.000926
bio230024|0.000000
bio230050|0.000000
bio230051-gpu|0.000004
bio230051|0.000001
bio230061|0.000001
bio230069-gpu|0.000002
bio230073|0.000000
bio230085|0.000459
bio230094|0.000000
bio230100|0.000000
bio230131|0.000088
bio230137-gpu|0.000009
bio230157|0.001421
bio230192|0.000000
bio230204-gpu|0.000000
bio230204|0.000000
bio230205|0.000079
bio230223|0.000000
bio240001|0.000000
bio240009-gpu|0.000001
bio240029|0.000000
bio240036|0.000000
bio240059|0.000824
bio240060|0.000338
bio240101-gpu|0.000001
bio240106-gpu|0.000000
bio240109-gpu|0.000007
bio240111-gpu|0.000000
bio240122|0.000000
bio240125|0.000000
ccr110036-gpu|0.000000
ccr110036|0.000000
ccr120014|0.000032
ccr140004|0.000000
ccr190056-gpu|0.000004
ccr190056|0.000375
ccr200001-gpu|0.000003
ccr200001|0.000015
ccr200026-gpu|0.000000
ccr200026|0.000000
cda080011|0.000000
cda090008-gpu|0.000000
cda090008-gpu|0.000000
cda090008|0.000007
cda090008|0.000003
cda100013-gpu|0.000000
cda100013|0.000000
cda110003|0.000042
cda170005-gpu|0.000000
cda170005|0.000000
che060063-gpu|0.000004
che060073n-gpu|0.000020
che070035|0.000000
che120088|0.000018
che140141|0.003784
che190010-gpu|0.000004
che190010|0.013860
che190026-gpu|0.000000
che190026|0.000000
che190065-gpu|0.000000
che190065|0.018624
che190077|0.000000
che200061|0.000000
che210078-gpu|0.000018
che210078|0.019872
che210079|0.000865
che210081|0.002119
che220008-gpu|0.000001
che220008|0.000039
che220027|0.000124
che220028|0.000141
che220030-gpu|0.000000
che220030|0.000069
che220039|0.000131
che220049|0.000437
che220051|0.000084
che220059-gpu|0.000000
che220059|0.000000
che220071|0.000172
che220088|0.000000
che230029|0.000017
che230030|0.000772
che230040|0.000363
che230042|0.000000
che230056|0.000973
che230068|0.000235
che230070|0.000000
che230085|0.000001
che230088|0.000087
che230103|0.000195
che230104|0.000000
che230108|0.000000
che230115-gpu|0.000000
che230115|0.000370
che230128|0.000000
che240015|0.000802
che240026|0.000540
chm200004-gpu|0.000000
chm200004|0.002077
chm210004|0.000511
chm210013-gpu|0.000028
chm210013|0.000069
chm210016-gpu|0.000002
chm210016|0.000042
chm210018-gpu|0.000000
chm210018|0.000000
chm220009|0.000203
chm230023-gpu|0.000007
chm230023|0.000034
chm230024-gpu|0.000003
chm230030|0.000017
chm230034|0.000300
chm230045-gpu|0.000000
chm230045|0.000288
chm230046|0.000527
chm230047|0.000690
chm230056|0.000009
chm230060-gpu|0.000004
chm230067|0.002660
chm240029|0.000184
chm240031|0.000006
chm240035|0.000005
chm240036|0.000054
cie140013-gpu|0.000000
cie140013|0.000000
cie160039-gpu|0.000000
cie160039|0.000000
cie170004|0.000000
cie170019|0.000000
cis200031-gpu|0.000000
cis200031|0.000000
cis210105-gpu|0.000021
cis210105|0.000001
cis210115-gpu|0.000000
cis220012-gpu|0.000000
cis220014-gpu|0.000001
cis220015-gpu|0.000000
cis220015|0.000000
cis220017-gpu|0.000000
cis220029-gpu|0.000000
cis220029|0.000000
cis220035|0.000217
cis220040-gpu|0.000000
cis220050-gpu|0.000000
cis220050|0.000000
cis220051-gpu|0.000007
